Name,Hex,Red (R),Green (G),Blue (B),HSL.H (deg),HSL.S (%),HSL.L (%)
mauve taupe,#915f6d,145,95,109,343,21,47
piggy pink,#fddde6,253,221,230,343,89,93
raspberry glace,#915f6d,145,95,109,343,21,47
baker-miller pink,#ff91af,255,145,175,344,100,78
crimson glory,#be0032,190,0,50,344,100,37
dark scarlet,#560319,86,3,25,344,93,17
flamingo pink,#fc8eac,252,142,172,344,95,77
french wine,#ac1e44,172,30,68,344,70,40
rose dust,#9e5e6f,158,94,111,344,25,49
schauss pink,#ff91af,255,145,175,344,100,78
vanilla ice,#f38fa9,243,143,169,344,81,76
big dip o’ruby,#9c2542,156,37,66,345,62,38
burgundy,#800020,128,0,32,345,100,25
electric crimson,#ff003f,255,0,63,345,100,50
puce,#cc8899,204,136,153,345,40,67
munsell red,#f2003c,242,0,60,345,100,47
ncs red,#c40233,196,2,51,345,98,39
spanish crimson,#e51a4c,229,26,76,345,80,50
vivid crimson,#cc0033,204,0,51,345,100,40
alabama crimson,#af002a,175,0,42,346,100,34
alabaster,#f2f0e6,242,240,230,346,32,93
american rose,#ff033e,255,3,62,346,100,51
bright maroon,#c32148,195,33,72,346,71,45
maroon (crayola),#c32148,195,33,72,346,71,45
pink sherbet,#f78fa7,247,143,167,346,87,76
carmine red,#ff0038,255,0,56,347,100,50
deep carmine,#a9203e,169,32,62,347,68,39
dingy dungeon,#c53151,197,49,81,347,60,48
paradise pink,#e63e62,230,62,98,347,77,57
crayola red,#ee204d,238,32,77,347,86,53
turkish rose,#b57281,181,114,129,347,31,58
amaranth,#e52b50,229,43,80,348,78,53
brink pink,#fb607f,251,96,127,348,95,68
catawba,#703642,112,54,66,348,35,33
cherry blossom pink,#ffb7c5,255,183,197,348,100,86
crimson,#dc143c,220,20,60,348,83,47
infra red,#ff496c,255,73,108,348,100,64
mauvelous,#ef98aa,239,152,170,348,73,77
radical red,#ff355e,255,53,94,348,100,60
black shadows,#bfafb2,191,175,178,349,11,72
bubble gum,#ffc1cc,255,193,204,349,100,88
french raspberry,#c72c48,199,44,72,349,64,48
magic potion,#ff4466,255,68,102,349,100,63
neon fuchsia,#fe4164,254,65,100,349,99,63
shimmering blush,#d98695,217,134,149,349,52,69
vivid burgundy,#9f1d35,159,29,53,349,69,37
antique ruby,#841b2d,132,27,45,350,66,31
cardinal,#c41e3a,196,30,58,350,73,44
carmine,#960018,150,0,24,350,100,29
fiery rose,#ff5470,255,84,112,350,100,67
medium candy apple red,#e2062c,226,6,44,350,95,45
pink,#ffc0cb,255,192,203,350,100,88
popstar,#be4f62,190,79,98,350,46,53
salmon pink,#ff91a4,255,145,164,350,100,78
scarlet,#fd0e35,253,14,53,350,98,52
spanish red,#e60026,230,0,38,350,100,45
tractor red,#fd0e35,253,14,53,350,98,52
ultra red,#fc6c85,252,108,133,350,96,71
wild watermelon,#fc6c85,252,108,133,350,96,71
cadmium red,#e30022,227,0,34,351,100,45
deep puce,#a95c68,169,92,104,351,31,51
light pink,#ffb6c1,255,182,193,351,100,86
rose gold,#b76e79,183,110,121,351,34,57
ruddy,#ff0028,255,0,40,351,100,50
sizzling red,#ff3855,255,56,85,351,100,61
brick red,#cb4154,203,65,84,352,57,53
desire,#ea3c53,234,60,83,352,81,58
rusty red,#da2c43,218,44,67,352,70,51
solid pink,#893843,137,56,67,352,42,38
bazaar,#98777b,152,119,123,353,14,53
dark terra cotta,#cc4e5c,204,78,92,353,55,55
harvard crimson,#c90016,201,0,22,353,100,39
parrot pink,#d998a0,217,152,160,353,46,72
puce red,#722f37,114,47,55,353,42,32
red devil,#860111,134,1,17,353,99,26
rosewood,#65000b,101,0,11,353,100,20
wine,#722f37,114,47,55,353,42,32
dark puce,#4f3a3c,79,58,60,354,15,27
pale pink,#fadadd,250,218,221,354,76,92
ruby red,#9b111e,155,17,30,354,80,34
ruddy pink,#e18e96,225,142,150,354,58,72
alizarin crimson,#e32636,227,38,54,355,77,52
begonia,#fa6e79,250,110,121,355,93,71
candy pink,#e4717a,228,113,122,355,68,67
cordovan,#893f45,137,63,69,355,37,39
imperial red,#ed2939,237,41,57,355,84,55
japanese carmine,#9d2933,157,41,51,355,59,39
lava,#cf1020,207,16,32,355,86,44
light carmine pink,#e66771,230,103,113,355,72,65
pantone red,#ed2939,237,41,57,355,84,55
red salsa,#fd3a4a,253,58,74,355,98,61
rocket metallic,#8a7f80,138,127,128,355,4,52
rose madder,#e32636,227,38,54,355,77,52
tango pink,#e4717a,228,113,122,355,68,67
amaranth red,#d3212d,211,33,45,356,73,48
amazonite,#00c4b0,0,196,176,356,100,38
deep taupe,#7e5e60,126,94,96,356,15,43
english red,#ab4b52,171,75,82,356,39,48
sangria,#92000a,146,0,10,356,100,29
sunburnt cyclops,#ff404c,255,64,76,356,100,63
upsdell red,#ae2029,174,32,41,356,69,40
venetian red,#c80815,200,8,21,356,92,41
deep carmine pink,#ef3038,239,48,56,357,86,56
fire engine red,#ce2029,206,32,41,357,73,47
ku crimson,#e8000d,232,0,13,357,100,45
rose vale,#ab4e52,171,78,82,357,37,49
smoky topaz,#933d41,147,61,65,357,41,41
tulip,#ff878d,255,135,141,357,100,76
vivid red,#f70d1a,247,13,26,357,94,51
english vermillion,#cc474b,204,71,75,358,57,54
pale chestnut,#ddadaf,221,173,175,358,41,77
pigment red,#ed1c24,237,28,36,358,85,52
bittersweet shimmer,#bf4f51,191,79,81,359,47,53
bulgarian rose,#480607,72,6,7,359,85,15
jasper,#d73b3e,215,59,62,359,66,54
madder lake,#cc3336,204,51,54,359,60,50
old rose,#c08081,192,128,129,359,34,63
spartan crimson,#9e1316,158,19,22,359,79,35
up maroon,#7b1113,123,17,19,359,76,27
