Name,Hex,HSL.H (deg),HSL.S (%),HSL.L (%),Red (R),Green (G),Blue (B)
baker-miller pink,#ff91af,344,100,78,255,145,175
crimson glory,#be0032,344,100,37,190,0,50
dark scarlet,#560319,344,93,17,86,3,25
flamingo pink,#fc8eac,344,95,77,252,142,172
french wine,#ac1e44,344,70,40,172,30,68
rose dust,#9e5e6f,344,25,49,158,94,111
schauss pink,#ff91af,344,100,78,255,145,175
vanilla ice,#f38fa9,344,81,76,243,143,169
big dip o’ruby,#9c2542,345,62,38,156,37,66
burgundy,#800020,345,100,25,128,0,32
electric crimson,#ff003f,345,100,50,255,0,63
munsell red,#f2003c,345,100,47,242,0,60
ncs red,#c40233,345,98,39,196,2,51
puce,#cc8899,345,40,67,204,136,153
spanish crimson,#e51a4c,345,80,50,229,26,76
vivid crimson,#cc0033,345,100,40,204,0,51
alabama crimson,#af002a,346,100,34,175,0,42
alabaster,#f2f0e6,346,32,93,242,240,230
american rose,#ff033e,346,100,51,255,3,62
bright maroon,#c32148,346,71,45,195,33,72
crayola maroon,#c32148,346,71,45,195,33,72
pink sherbet,#f78fa7,346,87,76,247,143,167
carmine red,#ff0038,347,100,50,255,0,56
crayola red,#ee204d,347,86,53,238,32,77
deep carmine,#a9203e,347,68,39,169,32,62
dingy dungeon,#c53151,347,60,48,197,49,81
paradise pink,#e63e62,347,77,57,230,62,98
turkish rose,#b57281,347,31,58,181,114,129
amaranth,#e52b50,348,78,53,229,43,80
brink pink,#fb607f,348,95,68,251,96,127
catawba,#703642,348,35,33,112,54,66
cherry blossom pink,#ffb7c5,348,100,86,255,183,197
crimson,#dc143c,348,83,47,220,20,60
infra red,#ff496c,348,100,64,255,73,108
mauvelous,#ef98aa,348,73,77,239,152,170
radical red,#ff355e,348,100,60,255,53,94
black shadows,#bfafb2,349,11,72,191,175,178
bubble gum,#ffc1cc,349,100,88,255,193,204
french raspberry,#c72c48,349,64,48,199,44,72
magic potion,#ff4466,349,100,63,255,68,102
neon fuchsia,#fe4164,349,99,63,254,65,100
shimmering blush,#d98695,349,52,69,217,134,149
vivid burgundy,#9f1d35,349,69,37,159,29,53
antique ruby,#841b2d,350,66,31,132,27,45
cardinal,#c41e3a,350,73,44,196,30,58
carmine,#960018,350,100,29,150,0,24
fiery rose,#ff5470,350,100,67,255,84,112
medium candy apple red,#e2062c,350,95,45,226,6,44
pink,#ffc0cb,350,100,88,255,192,203
popstar,#be4f62,350,46,53,190,79,98
salmon pink,#ff91a4,350,100,78,255,145,164
scarlet,#fd0e35,350,98,52,253,14,53
spanish red,#e60026,350,100,45,230,0,38
tractor red,#fd0e35,350,98,52,253,14,53
ultra red,#fc6c85,350,96,71,252,108,133
wild watermelon,#fc6c85,350,96,71,252,108,133
cadmium red,#e30022,351,100,45,227,0,34
deep puce,#a95c68,351,31,51,169,92,104
light pink,#ffb6c1,351,100,86,255,182,193
rose gold,#b76e79,351,34,57,183,110,121
ruddy,#ff0028,351,100,50,255,0,40
sizzling red,#ff3855,351,100,61,255,56,85
brick red,#cb4154,352,57,53,203,65,84
desire,#ea3c53,352,81,58,234,60,83
rusty red,#da2c43,352,70,51,218,44,67
solid pink,#893843,352,42,38,137,56,67
bazaar,#98777b,353,14,53,152,119,123
dark terra cotta,#cc4e5c,353,55,55,204,78,92
harvard crimson,#c90016,353,100,39,201,0,22
parrot pink,#d998a0,353,46,72,217,152,160
puce red,#722f37,353,42,32,114,47,55
red devil,#860111,353,99,26,134,1,17
rosewood,#65000b,353,100,20,101,0,11
wine,#722f37,353,42,32,114,47,55
dark puce,#4f3a3c,354,15,27,79,58,60
pale pink,#fadadd,354,76,92,250,218,221
ruby red,#9b111e,354,80,34,155,17,30
ruddy pink,#e18e96,354,58,72,225,142,150
alizarin crimson,#e32636,355,77,52,227,38,54
begonia,#fa6e79,355,93,71,250,110,121
candy pink,#e4717a,355,68,67,228,113,122
cordovan,#893f45,355,37,39,137,63,69
imperial red,#ed2939,355,84,55,237,41,57
japanese carmine,#9d2933,355,59,39,157,41,51
lava,#cf1020,355,86,44,207,16,32
light carmine pink,#e66771,355,72,65,230,103,113
pantone red,#ed2939,355,84,55,237,41,57
red salsa,#fd3a4a,355,98,61,253,58,74
rocket metallic,#8a7f80,355,4,52,138,127,128
rose madder,#e32636,355,77,52,227,38,54
tango pink,#e4717a,355,68,67,228,113,122
amaranth red,#d3212d,356,73,48,211,33,45
amazonite,#00c4b0,356,100,38,0,196,176
deep taupe,#7e5e60,356,15,43,126,94,96
english red,#ab4b52,356,39,48,171,75,82
sangria,#92000a,356,100,29,146,0,10
sunburnt cyclops,#ff404c,356,100,63,255,64,76
upsdell red,#ae2029,356,69,40,174,32,41
venetian red,#c80815,356,92,41,200,8,21
deep carmine pink,#ef3038,357,86,56,239,48,56
fire engine red,#ce2029,357,73,47,206,32,41
ku crimson,#e8000d,357,100,45,232,0,13
rose vale,#ab4e52,357,37,49,171,78,82
smoky topaz,#933d41,357,41,41,147,61,65
tulip,#ff878d,357,100,76,255,135,141
vivid red,#f70d1a,357,94,51,247,13,26
english vermillion,#cc474b,358,57,54,204,71,75
pale chestnut,#ddadaf,358,41,77,221,173,175
pigment red,#ed1c24,358,85,52,237,28,36
bittersweet shimmer,#bf4f51,359,47,53,191,79,81
bulgarian rose,#480607,359,85,15,72,6,7
jasper,#d73b3e,359,66,54,215,59,62
madder lake,#cc3336,359,60,50,204,51,54
old rose,#c08081,359,34,63,192,128,129
spartan crimson,#9e1316,359,79,35,158,19,22
up maroon,#7b1113,359,76,27,123,17,19
